_id,JUDET fără diacritice,Nume fără diacritice,Cine se ocupă?,Nume cu diacritice,"Nume cu diacritice, fără ""consiliul ...""",Tip,Site web,Cerere de ajutor pe site? (link),Pagină de Facebook,Cerere de ajutor pe Facebook? (link),Ceva de menționat?,Au cerut donații?,Adresa,lat,lng
39,Alba,Spitalul Judetean de Urgenta Alba Iulia Consiliul Judetean Alba,I.D.,Spitalul Județean de Urgență Alba Iulia,Spitalul Județean de Urgență Alba Iulia,județean,https://www.spitalalba.ro/wp/,nu,https://www.facebook.com/Spitalul-Judetean-de-Urgenta-Alba-416432385114227,nu,,FALSE,"Strada Revoluţiei nr. 23, Alba Iulia, Romania",46.071816,23.557047
166,Alba,Spitalul Municipal Aiud Consiliul Local Aiud,I.D.,Spitalul Municipal Aiud,Spitalul Municipal Aiud,orășenesc,http://spitalaiud.ro/ro/,nu,https://www.facebook.com/Spitalul-Municipal-Aiud-1512010108856573,https://www.facebook.com/1512010108856573/photos/a.1639578362766413/3024655027592066/?type=3&theater,,TRUE,"Strada Spitalului 2, Aiud 515200, Romania",46.3078587,23.7234201
169,Alba,Spitalul Municipal Blaj Consiliul Local Blaj,L.F,Spitalul Municipal Blaj,Spitalul Municipal Blaj,orășenesc,http://spitalblaj.ro/spital/,http://spitalblaj.ro/spital/,https://www.facebook.com/pages/Spital-Municipal-Blaj/283778532463742,nu,,TRUE,"Strada Andrei Muresanu 16, Blaj 515400, Romania",46.17934,23.92412
203,Alba,Spitalul Municipal Sebes Consiliul Local Sebes,L.F,"Spitalul Municipal Sebeș
","Spitalul Municipal Sebeș
",orășenesc,http://spitalulsebes.ro/,nu,https://www.facebook.com/Spitalul-Municipal-Sebe%C8%99-107202347334976/,nu,,FALSE,"Strada Șurianu 41, Sebeș 515800, Romania",45.9514021,23.5676841
215,Alba,Spitalul Orasenesc Campeni Consiliul Local Campeni,L.F,Spitalul Orășenesc Câmpeni Consiliul Local Câmpeni,Spitalul Orășenesc Câmpeni ,orășenesc,http://www.spitalulcampeni.ro/,http://www.spitalulcampeni.ro/documente/2020/apel_la_solidaritate.pdf,https://www.facebook.com/Spitalul-Or%C4%83%C8%99enesc-C%C3%AEmpeni-451271208546832/?__tn__=%2Cd%2CP-R&eid=ARDMbcDvmg3gIxjgIS_fWFom1q0In2RmQdi234RKBO_l8oYwz7fghqjOzO0uWZ4nC22i9uXtID5CRrJt,nu,,TRUE,"Strada Horea, Câmpeni 515500, Romania",46.3624373,23.0419363
258,Alba,Spitalul Orasenesc Abrud Consiliul Local Abrud,L.F,Spitalul Orășenesc Abrud Consiliul Local Abrud,Spitalul Orășenesc Abrud ,orășenesc,http://www.spitalabrud.ro/,nu,https://www.facebook.com/spitalulabrud/,facebook.com/spitalulabrud/posts/1385071685030273,,TRUE,"Strada Republicii 13, Abrud 515100, Romania",46.2659645,23.0824202
267,Alba,Spitalul Orasenesc Cugir Consiliul Local Cugir,L.F,Spitalul Orășenesc Cugir Consiliul Local Cugir,Spitalul Orășenesc Cugir ,orășenesc,http://www.spitalcugir.ro/#/,nu,https://www.facebook.com/Spitalul-Orasenesc-Cugir-504982679626748,nu,,FALSE,"Strada Nicolae Bălcescu 5, Cugir 515600, Romania",45.8368645,23.364086
297,Alba,Spitalul de Boli Cronice Campeni Consiliul Local Campeni,L.F,Spitalul de Boli Cronice Câmpeni Consiliul Local Câmpeni,Spitalul de Boli Cronice Câmpeni ,specialitate,http://spitaluldebolicronicecimpeni.ro/,nu,https://www.facebook.com/Spitalul-Or%C4%83%C8%99enesc-C%C3%AEmpeni-451271208546832/,https://www.facebook.com/Spitalul-orasenesc-Lipova-298273457502542/,,TRUE,"Strada Crișan 11, Câmpeni 515500, Romania",46.3657495,23.04543
313,Alba,Spitalul de Pneumoftiziologie Aiud Consiliul Judetean Alba,L.F,Spitalul de Pneumoftiziologie Aiud Consiliul Județean Alba,Spitalul de Pneumoftiziologie Aiud ,specialitate,https://spitalpneumoftiziologieaiud.ro/,nu,https://www.facebook.com/spitaluldepneumoftiziologieaiud/,nu,,FALSE,"Str. Varga Ecaterina, 6, Aiud, Alba, 515200, Strada Ecaterina Varga, Aiud 515200, Romania",46.3057866,23.7192839
29,Arad,Spitalul Clinic Judetean de Urgenta Arad Consiliul Judetean Arad,L.F,Spitalul Clinic Județean de Urgență Arad Consiliul Județean Arad,Spitalul Clinic Județean de Urgență Arad ,județean,http://www.scjarad.ro/,http://www.scjarad.ro/,https://www.facebook.com/scjua/?__tn__=kC-R&eid=ARB-q_DD6UXAOUGnNJ1g0mli9TtZplJ-0vMyWNBbi7N6mlRLaIp9GL5AQe_c3_juSP8GXpjjAnwWIHO7&hc_ref=ARRrkMomIRc_uNihk9X3aoMSpIV2Q2BY_Hg4EdIPu_Jv2HYwdiZq0Fj-WGaJuC5j-UM&fref=nf&__xts__[0]=68.ARABBQg2j3j6JagvTHRhr_8kGOi604__gGuj3RudYSUvWg-LXT4s4OMtRaZaCmPm1kWF2vypF-fvzmfPNZCkZ0EOm8CjQ7S_AApIkFf2G75UufdXaC7TmdDL1uQVjKPcqPHztqy5UItNfNcpVxDaMcKHgVg1c1jnhuzuGDhrR3BMYB-SERx-NSQv5sLerV5R2HdU7aDyVOyLULD2WaMPCSBHVTWJn2H4OfLVKxAZgn0b2DlCpa7oLo0X1JQSGMa20KDJx-2FH-hvhFNZ-2c9knOVLbktd-SUnzWdx0nwo0RlhZUpRoRYy5CYoGv0xCgShhFbJim4VzGf2tWC2gtt2VWkGQ,https://www.facebook.com/scjua/posts/1040252919686742,,TRUE,"Calea Victoriei, Arad, Romania",46.1819104,21.3094647
273,Arad,Spitalul Orasenesc Ineu Consiliul Local Ineu,L.F,Spitalul Orășenesc Ineu Consiliul Local Ineu,Spitalul Orășenesc Ineu ,orășenesc,http://www.spital-ineu.ro/,nu,https://www.facebook.com/spitalulineu/,https://www.facebook.com/spitalulineu/posts/2794848417229271?__xts__[0]=68.ARDR2vPubKTpOANnQOQDa6N8MvskadMQECxvirxzTD-jvMP2vLsC_4NHnDZPUOg19J2QhIvMeiuylcb1z5_sUBBqJoUyaYqzEffQSHnfsoAfcVaepOr9GfvLG8ql9X7FemYEc_fDGvi07fL9mmqG-Pp4e_AlXOUn-hMf3-snn38yzaYOnaQ4oRC22nlJ0tJ1kjwdA4FKTCGL5ZKryU1qbQlLqaAhgoL7rRuQE4VGZhnNdk8yyKsQ5RXLgv-d78rtpkY272bdqUiiLMcW0tQcCEYH8vSlwNOriwLpY9ctex1RaxZ2nJjwUR0uSAvAI5-kOJV7-cgzpWhFN8pi9JsNzg&__tn__=-R,,TRUE,"Calea Republicii nr. 2, Ineu 315300, Romania",46.422682,21.833825
275,Arad,Spitalul Orasenesc Lipova Consiliul Local Lipova,L.F,Spitalul Orășenesc Lipova Consiliul Local Lipova,Spitalul Orășenesc Lipova ,orășenesc,http://www.spitalulipova.ro/,nu,https://www.facebook.com/Spitalul-orasenesc-Lipova-298273457502542/,nu,,FALSE,"Str. Vânatu Aurel, 11, Lipova, Arad, 315400, Lipova 315400, Romania",46.0910761,21.6905678
296,Arad,Spitalul Boli Cronice Sebis Consiliul Local Sebis,L.F,Spitalul Boli Cronice Sebiș Consiliul Local Sebiș,Spitalul Boli Cronice Sebiș ,specialitate,http://spitalsebis.ro/despre-noi/,nu,https://www.facebook.com/pages/Spitalul-De-Boli-Cronice-Sebi%C8%99/1593623914233971,nu,,FALSE,"Strada Parcul Libertăţii, Sebiș 315700, Romania",46.3722424,22.1313026
